   PSR      FREQ (MHz)   DEG
J0032+6946     350      0.97
J0032+6946     820      1.00
J0141+6303     350      0.92
J0141+6303     820      0.58
J0214+5222     350      1.00
J0214+5222     820      1.00
J0415+6111     350      0.77
J0415+6111     820      0.79
J0636+5128     350      0.99
J0636+5128     820      0.94
J0636+5128     1500      1.00
J0636+5128     2000      1.00
J0957-0619     820      0.94
J1239+3239     350      1.00
J1239+3239     820      0.98
J1327+3423     57      1.00
J1327+3423     350      1.00
J1327+3423     430      1.00
J1327+3423     820      1.00
J1327+3423     1380      1.00
J1434+7257     350      1.00
J1434+7257     820      0.99
J1434+7257     1500      1.00
J1505-2524     350      0.69
J1505-2524     820      0.97
J1530-2114     350      0.81
J1530-2114     820      0.73
J1816+4510     350      1.00
J1816+4510     820      1.00
J1816+4510     1500      1.00
J1913+3732     350      0.35
J1913+3732     820      0.11
J1929+6630     350      0.40
J1929+6630     820      0.81
J1930+6205     350      0.66
J1930+6205     820      0.77
J2104+2830     350      0.40
J2104+2830     820      0.75
J2115+6702     350      0.85
J2115+6702     820      0.93
J2145+2158     350      0.59
J2145+2158     820      0.95
J2210+5712     350      0.50
J2210+5712     820      0.82
J2326+6243     350      0.91
J2326+6243     820      0.97
J2354-2250     350      0.94
J2354-2250     820      0.97
