#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J0000+0132|2738626591386423424|DA      |10055|  33|7.975|0.009|0.586|0.007|    |     |
J0003-0111|2449594087142467712|DA      | 5371|  36|8.007|0.043|0.587|0.036|    |     |
J0004-0340|2447889401738675072|DA      | 7066|  31|7.958|0.009|0.567|0.007|    |     |
J0006+0755|2746037712074342784|DAH     | 8610|  74|8.183|0.026|0.709|0.023|    |     |
J0006-0505|2444446482939165824|DA      | 7157|  67|8.156|0.036|0.689|0.031|    |     |
J0010-2021|2364836107306975872|DA      |10049|  57|7.919|0.011|0.554|0.009|    |     |
J0011-0903|2429183303040388992|DA      | 6203|  36|7.931|0.014|0.548|0.012|    |     |
J0013+0019|2545505281002947200|DA      | 9507|  68|7.985|0.010|0.590|0.009|    |     |
J0013+3246|2863526233218817024|DA      |10309|  54|7.889|0.012|0.538|0.009|    |     |
J0015+1353|2768116146078155648|DA      | 8439|  56|7.936|0.016|0.559|0.012|    |     |
J0016+0504|2741440172922171008|DA      | 7259|  46|8.191|0.031|0.712|0.028|    |     |
J0018+3055|2862337802883401856|DA      | 6803|  31|7.928|0.010|0.549|0.009|    |     |
J0018+3441|2876148734080688256|DA      | 7326|  58|7.944|0.021|0.560|0.017|    |     |
J0020+0011|2545305410405677312|DA      | 6956|  60|8.056|0.031|0.626|0.027|    |     |
J0020+0044|2546887573277984256|DA      | 8906|  62|8.463|0.011|0.894|0.010|    |     |
J0020+2640|2855799415254881408|DA      |14008| 166|7.826|0.011|0.515|0.009|    |     |
J0020-1115|2424915789174828160|DA      | 6306|  62|8.364|0.067|0.824|0.060|    |     |
J0022-1203|2423499381975837056|DA      |10547|  82|8.317|0.017|0.801|0.015|    |     |
J0027-0138|2541126609088680448|DA      | 6011|  64|8.191|0.037|0.708|0.033|    |     |
J0029+3648| 366784816895496064|DA      |25865| 314|9.214|0.013|1.279|0.005|    |     |
J0031+1845|2794904441219064448|DA      | 7635|  66|8.071|0.018|0.636|0.016|    |     |
J0031+2218|2799809779202757376|DA      | 6056|  22|8.067|0.011|0.629|0.009|    |     |
J0033+0540|2555356080553959168|DA      | 7087|  42|8.054|0.017|0.625|0.015|    |     |
J0033+2506|2807462655009880320|DA      | 6278|  26|8.017|0.009|0.599|0.008|    |     |
J0034+0640|2555713215673881856|DA      | 5312|  42|8.062|0.032|0.621|0.028|    |     |
J0034+1517|2780524585769652736|DA      | 6902|  36|8.030|0.009|0.610|0.009|    |     |
J0035+0011|2543230185287345664|DA      | 9444|  54|7.957|0.010|0.574|0.008|    |     |
J0035+0153|2544456862306151680|DA      |10662|  20|8.682|0.003|1.033|0.002|    |     |
J0035+1530|2780622648462300160|DA      | 6034|  59|8.241|0.039|0.741|0.036|    |     |
J0036+0552|2555403428272657792|DA      | 6816|  46|8.008|0.020|0.596|0.017|    |     |
J0039+1318|2779284538516313600|DA      |10884| 100|7.999|0.012|0.602|0.010|    |     |
J0039+3131| 361418474306342656|DA      |11632|  22|7.966|0.007|0.585|0.006|    |     |
J0039+4229| 381396329995329408|DA      | 9823|  50|7.882|0.013|0.532|0.010|    |     |
J0041-0226|2530119196321115776|DA      | 7560|  40|7.977|0.011|0.580|0.009|    |     |
J0042+2357|2803442840498734720|DA      | 8518|  32|7.989|0.014|0.590|0.012|    |     |
J0043+1540|2781309637071878912|DA      | 6748|  38|8.089|0.018|0.645|0.016|    |     |
J0044+0318|2550856260497950464|DA      | 6848|  38|7.952|0.014|0.563|0.012|    |     |
J0045+0904|2558010366047159424|DA      | 7588|  70|8.062|0.024|0.631|0.021|    |     |
J0045+1454|2781012734572656640|DA      | 6896|  32|8.376|0.012|0.833|0.012|    |     |
J0050+1919|2788992130973584640|DAZ     |16510| 154|7.996|0.014|0.613|0.012|    |     |
J0051+2031|2789398778477164672|DA      |19390| 278|7.953|0.012|0.596|0.010|    |     |
J0052+0453|2552643413569299968|DA      | 6800|  63|8.314|0.035|0.791|0.032|    |     |
J0052+4505| 377520826387065856|DA      |12139|  77|7.969|0.007|0.588|0.006|    |     |
J0052-0924|2473843786029439104|DA      |12895|  92|7.857|0.006|0.528|0.005|    |     |
J0053+3927| 368075574827351168|DA      | 7440|  38|7.942|0.009|0.559|0.007|    |     |
J0054+4156| 375131415820709632|DA      | 7565|  16|7.139|0.006|0.233|0.001|    |     |
J0054-0952|2473754897386327808|DA      | 8650|  42|7.902|0.011|0.540|0.008|    |     |
J0055+1804|2788048780061707520|DA      | 6561|  40|8.006|0.033|0.594|0.028|    |     |
J0056-0614|2524394000619171840|DA      | 6044|  60|8.157|0.042|0.686|0.037|    |     |
J0057+1756|2787939447373738880|DA      | 6244|  28|8.313|0.011|0.789|0.011|    |     |
J0058+0639|2577467770489127296|DA      | 8785|  64|7.982|0.021|0.586|0.018|    |     |
J0059+1623|2784445680457082368|DA      | 6756|  54|8.003|0.018|0.593|0.016|    |     |
J0103+0008|2536332154276141696|DA      | 6735|  40|7.855|0.030|0.508|0.023|    |     |
J0104+0949|2581380077674117120|DA      |23622| 287|7.935|0.012|0.596|0.009|    |     |
J0105-0614|2476711101899811456|DA      | 6090|  50|7.855|0.035|0.505|0.027|    |     |
J0105-0920|2473296504116465408|DA      | 8058|  54|7.997|0.014|0.593|0.011|    |     |
J0106+0145|2538281386529032192|DA      |11638|  58|8.029|0.009|0.622|0.007|    |     |
J0106+0148|2538286403050847232|DA      | 8315|  42|7.556|0.015|0.371|0.009|    |     |
J0107+2107|2790417540424293120|DAZ     | 7182| 166|8.635|0.050|1.001|0.040|    |     |
J0107+2518| 306350606950880128|DA      |16867| 272|8.522|0.015|0.942|0.011|    |     |
J0109+3300| 313967881773971840|DA      | 6033|  52|8.252|0.037|0.748|0.034|    |     |
J0109+3435| 314956480167069696|DA      | 7055|  42|8.462|0.014|0.890|0.012|    |     |
J0109-1042|2469900009618822656|DA      | 8148|  37|7.856|0.010|0.513|0.007|    |     |
J0110+1439|2591091789004351104|DA      | 9170|  50|8.550|0.009|0.950|0.008|    |     |
J0110+2701| 307116824821161088|DA      |14425|  64|8.021|0.006|0.624|0.005|    |     |
J0111+2204|2790884008232725632|DA      | 8732|  51|8.508|0.011|0.923|0.010|    |     |
J0112+3438| 320903154445635456|DA      | 8651|  56|7.954|0.017|0.570|0.013|    |     |
J0113+3307| 313996228559363840|DA      | 5877|  43|7.867|0.036|0.510|0.029|    |     |
J0113-0510|2482721857094021760|DA      | 6706|  48|8.317|0.032|0.793|0.029|    |     |
J0115+1227|2583651904920127232|DA      | 6049|  30|7.926|0.028|0.545|0.022|    |     |
J0115+1435|2590924250920129920|DA      | 6344|  46|8.159|0.022|0.688|0.019|    |     |
J0116-0943|2471521269578009984|DA      | 6375|  66|8.291|0.041|0.775|0.038|    |     |
J0119+1840|2785927684692570496|DA      | 6625|  46|8.050|0.037|0.621|0.032|    |     |
J0119+2241| 292790566268764288|DA      | 6044|  62|8.330|0.042|0.800|0.038|    |     |
J0123-0209|2485211533668928640|DA      | 5836|  20|7.989|0.010|0.580|0.009|    |     |
J0124+4023| 372111985092019840|DA      | 5227|  17|8.087|0.007|0.635|0.006|    |     |
J0124-1959|2353801065013205504|DA      | 7450|  66|8.118|0.017|0.665|0.016|    |     |
J0128+1351|2587268134239449728|DA      |12877| 102|7.897|0.005|0.550|0.005|    |     |
J0128-0045|2485921779525500288|DA      | 5695|  16|7.942|0.009|0.552|0.008|    |     |
J0129+1022|2585189473147457408|DA      | 8493|  21|7.473|0.004|0.339|0.003|    |     |
J0129+3227| 315800325276303872|DA      |15139| 134|7.887|0.010|0.550|0.007|    |     |
J0129+4228| 396370097820352256|DA      |23149| 246|7.883|0.011|0.568|0.008|    |     |
J0131+3147| 315687277442204672|DA      | 7766|  64|7.992|0.020|0.589|0.017|    |     |
J0132+4604| 398672715686799488|DA      |10383|  58|8.021|0.007|0.614|0.006|    |     |
J0134+0204|2558736322894795648|DA      |13022| 140|7.829|0.010|0.514|0.007|    |     |
J0135+0851|2572713104253752448|DA      | 6230|  72|8.211|0.040|0.721|0.036|    |     |
J0135+1445|2588874825669925504|DA      | 7653|  56|7.489|0.015|0.342|0.008|    |     |
J0135+5722| 412839403319209600|DA      |12416|  87|8.897|0.007|1.151|0.004|    |     |
