Title: The ELM Survey. IX. A Complete Sample of Low Mass White Dwarf Binaries 
       in the SDSS Footprint  
Authors: Brown W.R., Kilic M., Kosakowski A., Gianninas A.
Table: Measured and Derived WD Parameters
================================================================================
Byte-by-byte Description of file: apjac72act1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---       ID      Object identifier
  12- 13 I2     h         RAh     Hour of Right Ascension (J2000)
  15- 16 I2     min       RAm     Minute of Right Ascension (J2000)
  18- 23 F6.3   s         RAs     Second of Right Ascension (J2000)
      25 A1     ---       DE-     Sign of the Declination (J2000)
  26- 27 I2     deg       DEd     Degree of Declination (J2000)
  29- 30 I2     arcmin    DEm     Arcminute of Declination (J2000)
  32- 36 F5.2   arcsec    DEs     Arcsecond of Declination (J2000)
      38 I1     ---       Pub     Previously published object (1)
      40 I1     ---       Bin     Binary with an orbital solution (1)
  42- 47 F6.3   mag       g0mag   De-reddened SDSS g band AB magnitude
  49- 53 F5.3   mag     e_g0mag   Uncertainty in g0mag
  55- 60 F6.3   mag       (g-r)0  De-reddened SDSS (g-r) color
  62- 66 F5.3   mag     e_(g-r)0  Uncertainty in (g-r)0
  68- 72 F5.3   mag       (u-g)0  De-reddened SDSS (u-g) color
  74- 78 F5.3   mag     e_(u-g)0  Uncertainty in (u-g)0
  80- 84 I5     K         Teff    Effective temperature
  86- 88 I3     K       e_Teff    Uncertainty in Teff
  90- 94 F5.3   [cm/s2]   log(g)  log surface gravity
  96-100 F5.3   [cm/s2] e_log(g)  Uncertainty in log(g)
 102-106 F5.3   solMass   Mass    Stellar mass
 108-112 F5.3   solMass e_Mass    Uncertainty in Mass
 114-118 F5.2   mag       gMag    Absolute SDSS g band AB magnitude
 120-123 F4.2   mag     e_gMag    Uncertainty in gMag
 125-129 F5.3   kpc       Dspec   Spectroscopic derived distance
 131-135 F5.3   kpc     e_Dspec   Uncertainty in Dspec
 137-143 F7.4   mas       plx     Gaia EDR3 parallax
 145-150 F6.4   mas     e_plx     Uncertainty in plx
 152-171 I20    ---       Gaia    Gaia EDR3 source identifier
--------------------------------------------------------------------------------
Note (G1): J0130-0530, J0820+4543, and J2151+2730 were selected with Gaia DR2 
           and do not belong in the Gaia eDR3-based sample, but are ELM WD 
           binaries included here for completeness. 
Note (1): 
    1 = true;
    0 = false;
--------------------------------------------------------------------------------
J0012+1439  0 12 45.662  14 39 56.68 0 0 17.977 0.019 -0.168 0.024 0.570 0.029 11607 260 7.558 0.088 0.387 0.036 11.11 0.14 0.236 0.033  2.7821 0.1844  2768409887481718272 
J0027-1516  0 27 51.748 -15 16 26.57 1 1 17.131 0.025 -0.255 0.030 0.826 0.032 10801 200 6.127 0.052 0.240 0.040  8.25 0.22 0.598 0.132  1.6766 0.1060  2374553930375154944 
J0042+3103  0 42 07.252  31 03 29.45 1 1 18.005 0.016 -0.124 0.029 0.878 0.042  9507 100 6.274 0.048 0.255 0.039  8.95 0.24 0.649 0.159  1.1966 0.1688   360595902165353472 
J0056-0611  0 56 48.240 -06 11 41.80 1 1 17.230 0.023 -0.278 0.029 0.756 0.036 12230 180 6.170 0.040 0.253 0.040  7.99 0.23 0.705 0.167  1.5976 0.1134  2524390053545665408 
J0101+0401  1 01 28.690   4 01 59.00 0 1 17.219 0.017 -0.143 0.033 0.993 0.035  9284 120 5.229 0.089 0.188 0.013  6.74 0.26 1.245 0.321  0.7958 0.0981  2551884196495171712 
J0112+1835  1 12 10.263  18 35 03.50 1 1 17.137 0.016 -0.164 0.019 0.896 0.026 10020 140 5.760 0.050 0.249 0.020  7.50 0.14 0.848 0.116  1.3214 0.1140  2786627626922933248 
J0116+3341  1 16 20.951  33 41 16.09 0 0 17.862 0.017 -0.308 0.027 0.408 0.024 13886 220 7.424 0.045 0.385 0.018 10.41 0.08 0.309 0.026  2.1630 0.1599   320040145192523264 
J0116+4249  1 16 00.832  42 49 38.32 0 1 18.337 0.016 -0.293 0.020 0.634 0.034 12968 180 5.058 0.045 0.256 0.028  5.07 0.15 4.506 0.702  0.5682 0.1794   373358998783703808 
J0130-0530  1 30 15.918 -05 30 25.72 0 1 18.894 0.032 -0.293 0.046 0.365 0.050 14727 120 5.420 0.025 0.299 0.053  5.47 0.25 4.834 1.233 -0.0249 0.2712  2479121368826845568 
J0152+0749  1 52 13.779   7 49 13.76 1 1 18.067 0.010 -0.230 0.019 0.824 0.033 10840 180 5.920 0.050 0.291 0.021  7.50 0.17 1.295 0.226  1.0237 0.1942  2568823856748296832 
J0248+0539  2 48 45.909   5 39 21.76 0 0 18.608 0.022 -0.243 0.029 0.513 0.035 12161 250 7.802 0.082 0.497 0.043 11.35 0.12 0.282 0.035  1.4962 0.3800     6306661258129280 
J0745+2104  7 45 00.527  21 04 31.37 0 1 18.578 0.013 -0.399 0.025 0.016 0.027 22614 290 7.329 0.041 0.397 0.016  9.21 0.08 0.747 0.059  1.3408 0.2521   672983820089822464 
J0751-0141  7 51 41.174 -01 41 21.00 1 1 17.392 0.015 -0.356 0.018 0.398 0.023 15740 250 5.490 0.050 0.186 0.018  6.09 0.17 1.819 0.301  0.5601 0.1072  3082238681040617088 
J0759+3458  7 59 31.479  34 58 50.46 0 0 18.769 0.019 -0.369 0.030 0.240 0.058 18601 540 7.514 0.090 0.434 0.027  9.94 0.16 0.584 0.092  0.8953 0.2730   906411105034718592 
J0806-0716  8 06 50.022 -07 16 36.11 0 1 18.065 0.011 -0.312 0.016 0.652 0.031 12374 160 6.109 0.041 0.203 0.027  8.01 0.16 1.027 0.167  0.9263 0.1802  3063885736023355904 
J0820+4543  8 20 10.339  45 43 01.70 0 1 17.924 0.023 -0.316 0.030 0.278 0.033 17356 220 7.458 0.039 0.412 0.016  9.98 0.07 0.388 0.029  2.3783 0.1751   928585329693880832 
J0834+3049  8 34 46.910  30 49 58.80 1 1 18.803 0.015 -0.343 0.023 0.180 0.030 18473 310 7.111 0.050 0.317 0.015  9.29 0.11 0.800 0.086  1.3211 0.3123   709600306073392000 
J0837+6648  8 37 08.517  66 48 36.90 1 1 17.848 0.019 -0.144 0.024 0.807 0.034 11270 250 6.357 0.050 0.228 0.039  8.79 0.26 0.647 0.166  1.6554 0.1097  1093820521231069312 
J0848+0508  8 48 23.744   5 08 44.93 0 0 17.059 0.014 -0.361 0.022 0.281 0.021 16054 280 7.474 0.057 0.412 0.021 10.18 0.10 0.238 0.024  2.5875 0.0914   582675157663938304 
J0854+1222  8 54 08.733  12 22 26.51 0 0 18.348 0.035 -0.201 0.038 0.566 0.076 15025 260 7.498 0.050 0.415 0.019 10.35 0.09 0.398 0.039  2.4116 0.1994   605052074715179008 
J0900+3757  9 00 14.503  37 57 49.24 0 0 18.873 0.021 -0.386 0.027 0.040 0.031 22337 520 7.478 0.075 0.437 0.023  9.51 0.14 0.748 0.108  0.9476 0.2673   718805520500404608 
J1052+0806 10 52 13.141   8 06 31.48 0 0 17.582 0.017 -0.220 0.022 0.545 0.026 11481 190 7.565 0.059 0.387 0.026 11.12 0.09 0.196 0.019  3.3059 0.1279  3865904461176307840 
J1234-0228 12 34 10.350 -02 28 02.99 1 1 17.734 0.015 -0.382 0.022 0.260 0.026 17800 260 6.610 0.040 0.283 0.016  8.21 0.12 0.801 0.100  1.2768 0.1426  3683189405578704640 
J1235+1543 12 35 49.853  15 43 18.95 1 1 17.218 0.020 -0.357 0.024 0.130 0.027 21024 310 7.178 0.044 0.352 0.016  9.08 0.09 0.424 0.040  2.2504 0.1389  3933557828245537152 
J1239-2041 12 39 50.370 -20 41 42.28 0 1 18.621 0.021 -0.346 0.027 0.294 0.047 17575 260 6.939 0.046 0.291 0.013  9.04 0.13 0.824 0.107  1.0068 0.2309  3503613283880705664 
J1240-0958 12 40 32.501 -09 58 59.60 0 0 18.791 0.025 -0.248 0.032 0.572 0.044 13607 300 5.176 0.070 0.185 0.018  5.60 0.24 4.350 1.050  1.2967 0.3031  3578742398010409216 
J1241+0633 12 41 24.257   6 33 50.57 1 1 17.734 0.021 -0.196 0.024 0.711 0.048 11324 170 6.646 0.047 0.230 0.029  9.46 0.23 0.452 0.106  2.3681 0.1466  3709889258752971392 
J1313+5828 13 13 49.976  58 28 01.39 0 1 18.380 0.019 -0.382 0.025 0.331 0.028 16610 230 6.938 0.043 0.271 0.015  9.22 0.11 0.678 0.073  1.2747 0.1269  1566990986557895040 
J1328+6449 13 28 47.869  64 49 05.30 0 0 18.768 0.016 -0.261 0.034 0.415 0.033 13634 380 7.411 0.066 0.379 0.023 10.43 0.12 0.466 0.058  1.3898 0.1734  1666130651499777152 
J1346+1027 13 46 08.455  10 27 09.88 0 0 18.862 0.020 -0.364 0.030 0.134 0.041 20593 200 7.610 0.031 0.438 0.016 10.02 0.05 0.588 0.030  1.2750 0.2774  3725586917543559936 
J1436+5010 14 36 33.303  50 10 26.84 1 1 18.183 0.015 -0.351 0.021 0.257 0.027 17370 250 6.660 0.040 0.255 0.027  8.51 0.12 0.862 0.108  1.0545 0.1326  1603554764703627520 
J1446+0735 14 46 16.111   7 35 53.93 0 0 18.182 0.025 -0.303 0.031 0.316 0.035 14899 920 7.788 0.202 0.498 0.095 10.87 0.31 0.290 0.091  1.8384 0.2062  1171774040214623744 
J1449+1717 14 49 57.140  17 17 29.29 1 1 17.630 0.018 -0.129 0.023 0.871 0.028  9913 140 6.095 0.050 0.215 0.035  8.55 0.19 0.655 0.127  1.6303 0.1098  1236250127917190272 
J1458+4715 14 58 00.877  47 15 50.62 0 0 18.684 0.022 -0.228 0.028 0.523 0.035 11329 300 7.801 0.109 0.495 0.057 11.45 0.18 0.280 0.050  2.0352 0.1661  1587468291113937152 
J1506+2755 15 06 02.656  27 55 55.63 0 0 18.456 0.018 -0.270 0.025 0.531 0.031 10986 270 7.302 0.164 0.333 0.046 10.78 0.27 0.342 0.092  1.6386 0.1640  1268806078804884224 
J1538+0252 15 38 44.192   2 52 09.58 1 1 18.546 0.014 -0.251 0.021 0.825 0.039 10260 150 5.980 0.060 0.287 0.027  7.80 0.18 1.406 0.255  0.7100 0.2033  4424162321742140928 
J1614+0703 16 14 04.210   7 03 18.33 0 0 18.712 0.017 -0.318 0.022 0.256 0.033 17149 500 7.772 0.088 0.496 0.043 10.59 0.13 0.421 0.057  1.1955 0.2596  4450336810219872896 
J1632+4936 16 32 42.394  49 36 14.60 0 1 17.946 0.017 -0.162 0.023 1.013 0.031  9156 120 5.746 0.064 0.269 0.021  7.71 0.16 1.117 0.176  0.7530 0.0896  1411455519097674368 
J1659+4841 16 59 23.530  48 41 34.78 0 0 18.331 0.012 -0.342 0.021 0.186 0.026 19374 480 7.325 0.083 0.382 0.025  9.52 0.16 0.579 0.092  1.5115 0.1283  1409101666565641344 
J1701+3435 17 01 25.279  34 35 30.26 0 0 18.772 0.015 -0.355 0.021 0.290 0.029 17748 480 7.576 0.089 0.412 0.035 10.30 0.15 0.494 0.076  1.3491 0.1560  1337970174853051392 
J1741+6526 17 41 40.486  65 26 38.63 1 1 18.241 0.021 -0.196 0.024 0.916 0.039 10540 170 6.000 0.060 0.235 0.028  8.02 0.21 1.109 0.236  0.8665 0.1433  1633145818062780544 
J1840+6423 18 40 37.780  64 23 11.87 1 1 18.779 0.014 -0.110 0.020 0.880 0.046  9380 130 6.550 0.050 0.179 0.040 10.15 0.30 0.532 0.158  1.2982 0.1606  2256447694151327488 
J1906+6239 19 06 00.874  62 39 23.71 0 1 17.622 0.013 -0.338 0.018 0.603 0.028 13570 180 5.341 0.042 0.259 0.040  5.67 0.20 2.460 0.495  0.5060 0.0988  2252265701675503616 
J2103-0027 21 03 08.790 -00 27 49.01 1 1 18.253 0.014 -0.189 0.019 0.841 0.031  9978 110 5.764 0.052 0.208 0.020  7.75 0.19 1.259 0.242  0.9274 0.2468  2690059032483402368 
J2104+1712 21 04 03.842  17 12 32.17 0 1 18.160 0.025 -0.213 0.027 0.682 0.038  8927 110 6.561 0.048 0.183 0.010 10.40 0.11 0.357 0.041  1.9920 0.1495  1764073394954901504 
J2124-0537 21 24 06.871 -05 37 31.79 0 0 17.290 0.014 -0.323 0.019 0.522 0.026 15052 580 4.690 0.117 0.211 0.026  3.66 0.38 5.329 2.042  0.7899 0.1374  6899409660131102848 
J2132+0754 21 32 28.359   7 54 28.08 1 1 17.929 0.019 -0.344 0.026 0.550 0.028 13780 200 6.020 0.040 0.240 0.030  7.40 0.17 1.273 0.211  0.8188 0.1397  1740741380258586624 
